player.id,season_id,season,games,minutes
9462,90,2020_2021,1,63.64001667
9857,90,2020_2021,1,93.94706667
10605,90,2020_2021,2,189.9698333
10709,90,2020_2021,2,21.82768333
11167,90,2020_2021,2,100.5911167
11291,90,2020_2021,1,48.98276667
11296,90,2020_2021,2,137.5377667
11298,90,2020_2021,2,190.9416
11300,90,2020_2021,2,190.9416
11301,90,2020_2021,1,57.39875
11302,90,2020_2021,2,190.9416
11388,90,2020_2021,2,161.1513
11389,90,2020_2021,2,113.4651167
11391,90,2020_2021,1,85.71326667
11501,90,2020_2021,2,140.0641667
11538,90,2020_2021,2,196.01025
11550,90,2020_2021,1,70.88253333
11669,90,2020_2021,2,176.0286667
11670,90,2020_2021,2,100.9403833
11671,90,2020_2021,1,88.90413333
11675,90,2020_2021,2,113.4448333
11676,90,2020_2021,2,103.3126
11677,90,2020_2021,2,168.1795167
11748,90,2020_2021,2,189.2790167
12021,90,2020_2021,2,43.05728333
12041,90,2020_2021,2,112.3753
12072,90,2020_2021,1,72.57906667
12073,90,2020_2021,2,124.3729
12419,90,2020_2021,1,84.24798333
13599,90,2020_2021,3,101.3428167
13620,90,2020_2021,1,96.47625
15880,90,2020_2021,1,60.38968333
16003,90,2020_2021,2,190.0119833
16212,90,2020_2021,1,31.67148333
16249,90,2020_2021,2,162.5095833
16298,90,2020_2021,1,15.96478333
16309,90,2020_2021,1,97.66195
16335,90,2020_2021,2,163.25285
16489,90,2020_2021,1,17.66051667
16555,90,2020_2021,1,49.20123333
17027,90,2020_2021,2,94.0624
17303,90,2020_2021,1,67.5464
17304,90,2020_2021,5,166.5026333
17620,90,2020_2021,2,143.3717833
18395,90,2020_2021,2,171.41245
18783,90,2020_2021,1,81.17415
19597,90,2020_2021,1,95.08108333
19668,90,2020_2021,1,16.17915
19677,90,2020_2021,2,171.1467333
20033,90,2020_2021,2,146.9932667
20055,90,2020_2021,29,2770.743133
20063,90,2020_2021,2,108.1616833
20542,90,2020_2021,2,94.64191667
21081,90,2020_2021,1,95.78026667
21225,90,2020_2021,2,175.12885
21399,90,2020_2021,2,172.8689333
21881,90,2020_2021,28,1880.064833
22020,90,2020_2021,1,94.93108333
22029,90,2020_2021,1,93.5108
22107,90,2020_2021,1,94.05875
22128,90,2020_2021,2,181.4797833
22199,90,2020_2021,2,105.5644333
22321,90,2020_2021,2,73.23935
22390,90,2020_2021,25,710.2729
22740,90,2020_2021,1,3.57545
23211,90,2020_2021,1,2.89995
23212,90,2020_2021,1,95.36843333
23213,90,2020_2021,2,28.7089
23307,90,2020_2021,2,90.32046667
23322,90,2020_2021,2,188.8337167
23344,90,2020_2021,2,190.35075
23522,90,2020_2021,2,196.01025
23627,90,2020_2021,1,57.9476
23807,90,2020_2021,1,92.95638333
23811,90,2020_2021,2,161.4282167
23812,90,2020_2021,2,188.8337167
23825,90,2020_2021,1,33.6528
23934,90,2020_2021,2,196.14835
23943,90,2020_2021,2,147.4066667
23944,90,2020_2021,2,75.11671667
23945,90,2020_2021,1,65.45966667
23947,90,2020_2021,2,114.2044667
23948,90,2020_2021,1,95.62636667
23949,90,2020_2021,1,95.36925
23950,90,2020_2021,1,93.93393333
23966,90,2020_2021,2,129.40515
23967,90,2020_2021,2,135.8617
23970,90,2020_2021,1,37.27105
23971,90,2020_2021,2,144.2310333
23973,90,2020_2021,1,64.03473333
23978,90,2020_2021,1,6.452683333
24037,90,2020_2021,1,25.10081667
24049,90,2020_2021,2,119.8198
24052,90,2020_2021,2,153.3350167
24053,90,2020_2021,1,64.53733333
24055,90,2020_2021,1,20.6542
24085,90,2020_2021,2,130.0286667
24093,90,2020_2021,2,132.4377667
24126,90,2020_2021,1,92.95638333
24133,90,2020_2021,1,94.65401667
24134,90,2020_2021,2,187.6104
24136,90,2020_2021,1,9.101233333
24138,90,2020_2021,1,94.65401667
24140,90,2020_2021,1,92.95638333
24144,90,2020_2021,1,46.0714
24165,90,2020_2021,1,93.94706667
24166,90,2020_2021,1,21.368
24169,90,2020_2021,1,93.94706667
24172,90,2020_2021,1,72.85315
24211,90,2020_2021,2,189.3031833
24212,90,2020_2021,1,93.93393333
24236,90,2020_2021,2,152.3701
24251,90,2020_2021,1,33.55738333
24267,90,2020_2021,2,178.7896
24272,90,2020_2021,1,46.88498333
24315,90,2020_2021,2,81.19473333
24322,90,2020_2021,2,196.14835
24517,90,2020_2021,1,93.94706667
24593,90,2020_2021,2,128.2556167
